"","position","heightinchestotal","weight","fortyyd","offense"
"1","RB",69,205,4.6,1
"2","WR",72,198,4.42,1
"3","RB",72,221,4.57,1
"4","LB",73,227,4.55,0
"5","WR",68,180,4.43,1
"6","RB",72,221,4.53,1
"7","DB",72,218,4.56,0
"8","WR",73,187,0,1
"9","DL",78,294,5.03,0
"10","TE",77,244,0,1
"11","LB",75,243,4.56,0
"12","DL",79,292,5.1,0
"13","RB",70,212,4.53,1
"14","LB",74,236,0,0
"15","DL",76,282,4.8,0
"17","LB",75,246,4.53,0
"18","TE",78,252,4.8,1
"19","WR",73,197,4.42,1
"20","QB",74,211,4.81,1
"21","DL",74,293,0,0
"22","TE",74,258,0,1
"23","DL",76,318,5.02,0
"24","OL",76,303,5.57,1
"25","DB",72,207,0,0
"26","QB",72,231,5.03,1
"27","OL",79,301,5.6,1
"28","TE",76,268,5.04,1
"29","QB",76,229,4.72,1
"31","WR",72,205,4.54,1
"32","RB",74,234,0,1
"33","OL",76,323,0,1
"34","RB",71,224,4.62,1
"35","DL",74,319,5.05,0
"36","OL",80,355,5.29,1
"38","DB",71,208,0,0
"39","OL",75,313,0,1
"40","QB",74,218,4.94,1
"42","DB",72,196,4.51,0
"43","RB",67,186,4.57,1
"44","DB",71,194,4.62,0
"45","DL",75,267,4.79,0
"46","TE",75,244,4.87,1
"48","DL",75,271,4.79,0
"49","WR",70,195,4.51,1
"50","TE",77,277,4.98,1
"51","OL",77,309,5.14,1
"52","WR",73,212,4.43,1
"53","RB",71,229,4.81,1
"54","OL",76,310,5.19,1
"55","DB",71,185,4.53,0
"56","RB",71,206,0,1
"57","DB",73,203,4.48,0
"58","OL",76,305,5.12,1
"59","DB",72,228,4.53,0
"60","WR",74,213,4.35,1
"61","WR",73,211,4.42,1
"62","DL",75,293,4.86,0
"63","DL",74,289,0,0
"64","DB",73,191,4.36,0
"65","DL",77,283,5.01,0
"66","OL",79,301,5.26,1
"67","RB",72,217,4.62,1
"68","WR",68,185,4.56,1
"69","LB",74,248,0,0
"70","WR",73,201,4.62,1
"71","DB",71,193,4.38,0
"72","LB",72,225,4.95,0
"73","DL",77,320,5.07,0
"74","WR",75,220,4.57,1
"75","WR",74,216,0,1
"76","RB",69,217,4.61,1
"77","WR",73,196,4.51,1
"78","DL",74,316,5.18,0
"79","LB",72,235,4.93,0
"80","DL",76,254,4.97,0
"81","LB",72,254,0,0
"82","TE",76,255,0,1
"83","LB",75,260,4.74,0
"84","DB",69,196,4.56,0
"85","WR",72,195,4.46,1
"86","OL",75,296,5.31,1
"87","OL",78,313,5.31,1
"88","WR",70,185,4.33,1
"89","DB",70,182,4.5,0
"90","OL",76,304,5.25,1
"91","DB",73,208,4.65,0
"92","LB",76,284,5.06,0
"93","LB",76,269,4.56,0
"94","RB",68,218,4.58,1
"95","RB",69,220,4.8,1
"96","DB",69,192,0,0
"97","LB",75,255,4.77,0
"98","OL",77,313,5.15,1
"99","DB",75,208,4.63,0
"100","OL",78,353,5.55,1
"101","QB",73,223,4.63,1
"102","OL",76,323,5.33,1
"104","OL",76,318,5.25,1
"105","OL",78,306,5.01,1
"106","OL",78,329,5.31,1
"107","DL",74,266,4.93,0
"109","LB",77,238,4.73,0
"110","WR",76,232,4.7,1
"111","DB",70,180,4.44,0
"112","OL",74,306,5.5,1
"113","OL",76,309,0,1
"114","DB",74,218,4.55,0
"115","OL",78,305,5.04,1
"116","DB",72,179,4.64,0
"117","OL",76,307,5.2,1
"118","DL",74,260,4.9,0
"119","DL",76,336,0,0
"120","DB",69,176,4.46,0
"121","WR",70,209,4.44,1
"122","RB",73,215,4.52,1
"123","DB",70,200,4.44,0
"124","OL",75,297,0,1
"125","QB",74,213,0,1
"126","OL",77,314,5.16,1
"127","WR",77,237,4.49,1
"128","WR",71,182,4.53,1
"129","LB",77,235,4.64,0
"130","DL",75,262,4.81,0
